Reference,Section,Section Title,Reporting Treatment,Primary Principle,High Level Premise,Sub-premise,Behaviour,Final Question,Scoring Direction,Matched Q
O1,1,Your experience as a leader,Outcome indicator,,,,,"I feel clear about our company's mission, vision and strategy.",Not scored,
O2,1,Your experience as a leader,Outcome indicator,,,,,I feel inspired by what we are here to create.,Not scored,
O3,1,Your experience as a leader,Outcome indicator,,,,,I feel valued as a member of this leadership team.,Not scored,
O4,1,Your experience as a leader,Outcome indicator,,,,,I feel clear about what success looks like for us.,Not scored,
O5,1,Your experience as a leader,Outcome indicator,,,,,I feel that we are winning as a team.,Not scored,
S1,2,Structures for Success,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,clear about vision,...we are clear about our strategy.,Positive,
S2,2,Structures for Success,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,clear about execution plan,...we are clear about our execution plan that delivers the strategy.,Positive,
S3,2,Structures for Success,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,clear about vision,...our strategy and execution plan are aligned to the company strategy.,Positive,
S4,2,Structures for Success,Baseline,Structure,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on ER vs Fixing Problems,"...we stay focused on our defined strategy and execution plan (as opposed to adding more to it), putting energy into what matters most.",Positive,
S5,2,Structures for Success,Baseline,Structure,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on execution plan vs day-to-day,...we stay focused on delivering our execution plan as opposed to allowing the day-to-day to take over.,Positive,
S6,2,Structures for Success,Baseline,Structure,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on ER vs Fixing Problems,...our strategy and execution plan move us towards what we want to create rather than fixing problems.,Positive,
S7,2,Structures for Success,Baseline,Structure,Let go of old structure to create new (create and adjust),can't create the new within an old structure,let go of the old and change what we are doing,"...when the company's strategy pivots, we change our strategy and execution plan to align.",Positive,
S8,2,Structures for Success,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,clear about vision,...in our meetings we are clear on the end results / outcomes of that meeting,Positive,
S9,2,Structures for Success,Baseline,Space,Space is both internal and external,Need for internal space to receive insights,Consciously and intentionally create space,"...at the start of meetings, we take a moment to become present and bring our attention fully into the room.",Positive,
S10,2,Structures for Success,Baseline,Space,Space is both internal and external,Need for external space for insights to land,Consciously and intentionally create external space,...we listen to one another without interrupting and reflect before responding.,Positive,
S11,2,Structures for Success,Baseline,Structure,Struture has integrity,Structure lead us to or away from end result - tension will always seek resolution,We put in structures that serve us,"...our meetings end with clear decisions, ownership and next steps.",Positive,
S12,2,Structures for Success,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,Real about current reality,...we are able to acknowledge the current reality even when it's uncomfortable.,Positive,
S13,2,Structures for Success,Baseline,Structure,Struture has integrity,Structure lead us to or away from end result - tension will always seek resolution,We put in structures that serve us,"...when we are not getting the results we want, we look at whether we have the most effective structures in place.",Positive,
